"brand","title","stars","price","price/currency","price/value","url"
"Dell","(Refurbished) Dell Latitude Laptop 7470 Intel Core i5 - 6300u Processor 6th Gen, 16 GB Ram & 128 GB SSD, 14.1 Inches (Ultra Slim & Feather Light 1.59KG) Notebook Computer","5",,"₹","21690","https://www.amazon.in/dp/B0CDQ67P36"
"Dell","Dell 2023 Inspiron 14 5425 Business Laptop-FHD+14"" Display, AMD Ryzen 7 5825U Processor(Beats i7-1185G7), 16GB RAM, 1TB SSD, Backlit Keyboard, HDMI, USB-C,BT, WiFi, WMMP, Win11 Pro, Platinum Silver",,,"₹","130430","https://www.amazon.in/dp/B0CDNRVPCR"
"Dell","Dell (Renewed) Latitude Laptop E7480 Intel Core I5-6200U Processor 6Th Gen,8 Gb Ram&256 Gb Ssd,14.1 Inches (Ultra Slim&Feather Light 1.37Kg) Notebook Computer,Windows 10 Pro","3.7",,"₹","20495","https://www.amazon.in/dp/B09KH8Q7QR"
"Dell","(Refurbished) DELL Latitude 5490 Core i5 7th Gen Laptop, 8 GB RAM, 256GB SSD, Intel HD Graphics, 14 inch (36.83 cms) HD Screen, Windows 11 (Upgraded), MS Office, Black, Slim","3.3",,"₹","22998","https://www.amazon.in/dp/B0BLVWXM4Q"
"Dell","Dell New Vostro 3400 Laptop Intel I5-1135G7, 16Gb Ddr4, 512Gb Ssd, Windows 11+Mso'21, 14 Inches (35.56 Cms) Fhd Ag, Dune,1.59Kgs (D552214Win9D)","3.5",,"₹","55000","https://www.amazon.in/dp/B09PVCWKQD"
"Dell","Dell Inspiron 5330 Laptop, Intel Evo Platform Powered by Intel Core i7-1360P Processor/16GB LP DDR5/1TB SSD/13.3"" (33.78cm) QHD+ 300 nits/Win 11 + MSO'21/15 Month McAfee/Platinum Silver/1.24kg","5",,"₹","98890","https://www.amazon.in/dp/B0CCSP5WTL"
"Dell","DELL 2023 Inspiron 14 Business Laptop, 14-inch 16:10 FHD+ (1920 x 1200), AMD Ryzen 7 5825U,16GB DDR4,1TB SSD,Backlit Keyboard, HDMI,USB-C, BT,WiFi,Windows 11 Pro,Pebble Green",,,"₹","122130","https://www.amazon.in/dp/B0CGHGCX8G"
"Dell","(Refurbished) Dell 15 Laptop, Intel Core i3-1115G4, 8GB/1TB + 256GB SSD/15.6""(39.62cm) FHD, TÃœV Rheinland Certified Comfortview Reduce Harmful Blue Light Emissions/Windows 11 + MSO'21/15 Month McAfee/Carbon/1.69kg",,,"₹","32291.5","https://www.amazon.in/dp/B0CD5XHW1J"
"Dell","Dell Inspiron 3535 Laptop, AMD 7 Series Ryzen5 R5-7520U Processor/ 8GB LP DDR5/ 1TB SSD/ 15.6"" (39.62cm) FHD AG 120Hz 250 nits Display/Platinum Silver/Win 11 + MSO'21/15 Month McAfee/ 1.63kg","4",,"₹","48990","https://www.amazon.in/dp/B0CDBN691B"
"Dell","Dell Latitude 3540 15.6"" Notebook - HD - 1366 x 768 - Intel Core i5 13th Gen i5-1335U Deca-core (10 Core) - 8 GB Total RAM - 256 GB SSD","5",,"₹","74990","https://www.amazon.in/dp/B0C8J2FG46"
